delay,x,y
"(0, 5]","(0, 5]",1606837
"(5, 10]","(5, 10]",104729
"(10, 15]","(10, 15]",31012
"(15, 20]","(15, 20]",13947
"(20, 25]","(20, 25]",7634
"(25, 30]","(25, 30]",4865
"(30, 35]","(30, 35]",3041
"(35, 40]","(35, 40]",2174
"(40, 45]","(40, 45]",1461
"(45, 50]","(45, 50]",1001
"(50, 55]","(50, 55]",746
"(55, 60]","(55, 60]",537
"(60, 65]","(60, 65]",416
"(65, 70]","(65, 70]",331
"(70, 75]","(70, 75]",260
"(75, 80]","(75, 80]",207
"(80, 85]","(80, 85]",176
"(85, 90]","(85, 90]",143
"(90, 95]","(90, 95]",100
"(95, 100]","(95, 100]",94
"(100, 105]","(100, 105]",66
"(105, 110]","(105, 110]",61
"(110, 115]","(110, 115]",50
"(115, 120]","(115, 120]",39
"(120, 125]","(120, 125]",26
"(125, 130]","(125, 130]",45
"(130, 135]","(130, 135]",37
"(135, 140]","(135, 140]",21
"(140, 145]","(140, 145]",24
"(145, 150]","(145, 150]",27
"(150, 155]","(150, 155]",18
"(155, 160]","(155, 160]",14
"(160, 165]","(160, 165]",11
"(165, 170]","(165, 170]",11
"(170, 175]","(170, 175]",16
"(175, 180]","(175, 180]",15
"(180, 185]","(180, 185]",10
"(185, 190]","(185, 190]",7
"(190, 195]","(190, 195]",3
"(195, 200]","(195, 200]",4
"(200, 205]","(200, 205]",9
"(205, 210]","(205, 210]",4
"(210, 215]","(210, 215]",6
"(215, 220]","(215, 220]",6
"(220, 225]","(220, 225]",5
"(225, 230]","(225, 230]",5
"(230, 235]","(230, 235]",5
"(235, 240]","(235, 240]",4
"(240, 245]","(240, 245]",1
"(245, 250]","(245, 250]",5
"(250, 255]","(250, 255]",4
"(255, 260]","(255, 260]",3
"(260, 265]","(260, 265]",4
"(265, 270]","(265, 270]",2
"(270, 275]","(270, 275]",3
"(275, 280]","(275, 280]",2
"(280, 285]","(280, 285]",1
"(285, 290]","(285, 290]",3
"(290, 295]","(290, 295]",4
"(295, 300]","(295, 300]",0
"(300, 305]","(300, 305]",2
"(305, 310]","(305, 310]",1
"(310, 315]","(310, 315]",1
"(315, 320]","(315, 320]",1
"(320, 325]","(320, 325]",2
"(325, 330]","(325, 330]",2
"(330, 335]","(330, 335]",2
"(335, 340]","(335, 340]",4
"(340, 345]","(340, 345]",14
"(345, 350]","(345, 350]",1
"(350, 355]","(350, 355]",1
"(355, 360]","(355, 360]",0
"(360, 365]","(360, 365]",0
"(365, 370]","(365, 370]",0
"(370, 375]","(370, 375]",1
"(375, 380]","(375, 380]",0
"(380, 385]","(380, 385]",0
"(385, 390]","(385, 390]",1
"(390, 395]","(390, 395]",0
"(395, 400]","(395, 400]",0
"(400, 405]","(400, 405]",2
"(405, 410]","(405, 410]",0
"(410, 415]","(410, 415]",2
"(415, 420]","(415, 420]",0
"(420, 425]","(420, 425]",0
"(425, 430]","(425, 430]",1
"(430, 435]","(430, 435]",0
"(435, 440]","(435, 440]",0
"(440, 445]","(440, 445]",1
"(445, 450]","(445, 450]",0
"(450, 455]","(450, 455]",1
"(455, 460]","(455, 460]",0
"(460, 465]","(460, 465]",0
"(465, 470]","(465, 470]",1
"(470, 475]","(470, 475]",0
"(475, 480]","(475, 480]",0
"(480, 485]","(480, 485]",1
"(485, 490]","(485, 490]",0
"(490, 495]","(490, 495]",0
"(495, 500]","(495, 500]",0
"(500, 505]","(500, 505]",2
"(505, 510]","(505, 510]",0
"(510, 515]","(510, 515]",1
"(515, 520]","(515, 520]",0
"(520, 525]","(520, 525]",1
"(525, 530]","(525, 530]",0
"(530, 535]","(530, 535]",0
"(535, 540]","(535, 540]",0
"(540, 545]","(540, 545]",0
"(545, 550]","(545, 550]",0
"(550, 555]","(550, 555]",0
"(555, 560]","(555, 560]",2
"(560, 565]","(560, 565]",0
"(565, 570]","(565, 570]",0
"(570, 575]","(570, 575]",0
"(575, 580]","(575, 580]",0
"(580, 585]","(580, 585]",0
"(585, 590]","(585, 590]",0
"(590, 595]","(590, 595]",0
"(595, 600]","(595, 600]",0
"(600, 605]","(600, 605]",0
"(605, 610]","(605, 610]",0
"(610, 615]","(610, 615]",0
"(615, 620]","(615, 620]",0
"(620, 625]","(620, 625]",0
"(625, 630]","(625, 630]",0
"(630, 635]","(630, 635]",0
"(635, 640]","(635, 640]",0
"(640, 645]","(640, 645]",0
"(645, 650]","(645, 650]",1
"(650, 655]","(650, 655]",0
"(655, 660]","(655, 660]",0
"(660, 665]","(660, 665]",0
"(665, 670]","(665, 670]",0
"(670, 675]","(670, 675]",0
"(675, 680]","(675, 680]",0
"(680, 685]","(680, 685]",0
"(685, 690]","(685, 690]",0
"(690, 695]","(690, 695]",0
"(695, 700]","(695, 700]",1
"(700, 705]","(700, 705]",1
"(705, 710]","(705, 710]",0
"(710, 715]","(710, 715]",1
"(715, 720]","(715, 720]",0
"(720, 725]","(720, 725]",0
"(725, 730]","(725, 730]",0
"(730, 735]","(730, 735]",0
"(735, 740]","(735, 740]",0
"(740, 745]","(740, 745]",0
"(745, 750]","(745, 750]",1
"(750, 755]","(750, 755]",0
"(755, 760]","(755, 760]",0
"(760, 765]","(760, 765]",0
"(765, 770]","(765, 770]",0
"(770, 775]","(770, 775]",0
"(775, 780]","(775, 780]",0
"(780, 785]","(780, 785]",0
"(785, 790]","(785, 790]",0
"(790, 795]","(790, 795]",0
"(795, 800]","(795, 800]",0
"(800, 805]","(800, 805]",0
"(805, 810]","(805, 810]",1
"(810, 815]","(810, 815]",0
"(815, 820]","(815, 820]",0
"(820, 825]","(820, 825]",0
"(825, 830]","(825, 830]",0
"(830, 835]","(830, 835]",0
"(835, 840]","(835, 840]",0
"(840, 845]","(840, 845]",1
"(845, 850]","(845, 850]",0
"(850, 855]","(850, 855]",0
"(855, 860]","(855, 860]",0
"(860, 865]","(860, 865]",0
"(865, 870]","(865, 870]",0
"(870, 875]","(870, 875]",0
"(875, 880]","(875, 880]",0
"(880, 885]","(880, 885]",0
"(885, 890]","(885, 890]",0
"(890, 895]","(890, 895]",0
"(895, 900]","(895, 900]",0
"(900, 905]","(900, 905]",1
"(905, 910]","(905, 910]",0
"(910, 915]","(910, 915]",0
"(915, 920]","(915, 920]",0
"(920, 925]","(920, 925]",2
"(925, 930]","(925, 930]",0
"(930, 935]","(930, 935]",0
"(935, 940]","(935, 940]",0
"(940, 945]","(940, 945]",0
"(945, 950]","(945, 950]",0
"(950, 955]","(950, 955]",0
"(955, 960]","(955, 960]",0
"(960, 965]","(960, 965]",0
"(965, 970]","(965, 970]",0
"(970, 975]","(970, 975]",0
"(975, 980]","(975, 980]",0
"(980, 985]","(980, 985]",0
"(985, 990]","(985, 990]",0
"(990, 995]","(990, 995]",0
